parcel_id,district,land_type,area_ha,num_title_holders,circle_rate_lakh,market_rate_lakh,rate_deviation_pct,active_court_stays,deed_mismatch,gram_sabha_pending,is_forest,rr_required,infra_proximity_km,delay_months,risk_score,risk_level
PCL-MP-1000,Jabalpur,Agricultural,63.16,4,43.97,88.73,101.8,0,0,0,0,1,19.3,15.0,47,Medium
PCL-MP-1001,Sehore,Private Commercial,47.93,4,43.74,78.93,80.5,0,1,0,0,0,31.6,16.0,50,Medium
PCL-MP-1002,Dewas,Agricultural,18.69,6,33.69,50.57,50.1,1,0,0,0,1,20.9,22.4,70,High
PCL-MP-1003,Bhopal,Private Commercial,70.58,3,74.07,146.04,97.2,2,0,0,0,1,10.9,29.1,91,High
PCL-MP-1004,Bhopal,Agricultural,38.81,6,38.83,56.89,46.5,0,0,0,0,1,3.7,12.2,38,Medium
PCL-MP-1005,Indore,Agricultural,32.56,4,83.19,180.7,117.2,0,0,0,0,1,14.5,13.1,41,Medium
PCL-MP-1006,Dewas,Agricultural,77.66,6,43.07,72.09,67.4,0,0,0,0,1,6.7,13.1,41,Medium
PCL-MP-1007,Jabalpur,Private Commercial,76.37,4,55.77,133.63,139.6,1,0,0,0,0,7.3,16.6,52,Medium
PCL-MP-1008,Indore,Forest/Eco-sensitive,36.17,1,57.71,104.69,81.4,0,0,1,1,0,30.8,19.2,60,Medium
PCL-MP-1009,Ujjain,Agricultural,54.66,2,49.95,58.91,17.9,1,0,0,0,0,34.4,9.9,31,Low
PCL-MP-1010,Sehore,Tribal Schedule V,74.06,7,96.54,162.78,68.6,1,1,0,0,0,41.4,21.8,68,High
PCL-MP-1011,Bhopal,Government Wasteland,74.75,3,45.35,58.92,29.9,0,0,0,0,0,36.8,3.5,11,Low
PCL-MP-1012,Ujjain,Private Commercial,11.13,4,105.48,125.46,18.9,0,0,0,0,0,43.4,5.4,17,Low
PCL-MP-1013,Jabalpur,Agricultural,26.84,6,62.24,105.84,70.1,2,0,0,0,1,10.7,26.6,83,High
PCL-MP-1014,Indore,Agricultural,60.31,1,44.46,100.61,126.3,0,1,0,0,1,30.3,15.7,49,Medium
PCL-MP-1015,Sehore,Private Commercial,21.03,4,93.64,114.81,22.6,1,0,0,0,1,32.9,16.6,52,Medium
PCL-MP-1016,Jabalpur,Forest/Eco-sensitive,55.1,1,59.22,85.39,44.2,0,0,1,1,1,19.3,17.0,53,Medium
PCL-MP-1017,Bhopal,Agricultural,73.28,2,29.3,70.29,139.9,0,0,0,0,0,38.3,9.6,30,Low
PCL-MP-1018,Indore,Agricultural,41.17,7,101.71,120.91,18.9,1,0,0,0,0,13.2,13.1,41,Medium
PCL-MP-1019,Ujjain,Private Commercial,61.21,2,41.14,52.07,26.6,1,1,0,0,1,2.7,16.3,51,Medium
PCL-MP-1020,Raisen,Private Commercial,72.55,2,29.83,50.3,68.6,0,1,0,0,1,38.9,11.2,35,Low
PCL-MP-1021,Sehore,Agricultural,50.74,2,60.63,108.91,79.6,0,0,0,0,1,32.4,10.6,33,Low
PCL-MP-1022,Indore,Agricultural,11.56,5,63.86,146.69,129.7,0,1,0,0,0,28.1,16.3,51,Medium
PCL-MP-1023,Sehore,Agricultural,22.91,6,99.87,222.2,122.5,2,0,0,0,0,27.7,27.2,85,High
PCL-MP-1024,Ujjain,Forest/Eco-sensitive,1.16,3,104.2,114.64,10.0,0,0,0,1,0,33.5,6.7,21,Low
PCL-MP-1025,Indore,Forest/Eco-sensitive,17.7,3,67.96,89.31,31.4,0,1,1,1,0,2.5,19.8,62,Medium
PCL-MP-1026,Dewas,Forest/Eco-sensitive,54.34,3,38.73,61.61,59.1,0,0,1,1,0,31.3,16.6,52,Medium
PCL-MP-1027,Dewas,Private Commercial,13.01,2,28.56,42.23,47.9,0,0,0,0,0,2.3,5.8,18,Low
PCL-MP-1028,Dewas,Agricultural,21.59,2,55.06,97.01,76.2,0,0,0,0,0,41.7,5.8,18,Low
PCL-MP-1029,Ujjain,Tribal Schedule V,74.98,3,40.25,92.19,129.0,0,0,0,0,0,11.5,10.6,33,Low
PCL-MP-1030,Indore,Forest/Eco-sensitive,9.63,1,97.98,124.68,27.3,0,0,1,1,0,35.9,11.8,37,Low
PCL-MP-1031,Indore,Agricultural,24.04,2,107.19,145.21,35.5,0,0,0,0,0,24.4,3.5,11,Low
PCL-MP-1032,Bhopal,Agricultural,82.5,3,74.35,176.67,137.6,1,0,0,0,0,19.9,17.6,55,Medium
PCL-MP-1033,Sehore,Agricultural,4.25,7,25.14,57.62,129.2,1,0,0,0,0,30.3,21.4,67,High
PCL-MP-1034,Dewas,Agricultural,80.68,6,77.97,149.07,91.2,1,0,0,0,1,15.0,23.0,72,High
PCL-MP-1035,Indore,Agricultural,79.96,3,77.32,107.19,38.6,0,1,0,0,1,19.6,10.9,34,Low
PCL-MP-1036,Sehore,Private Commercial,27.73,4,62.58,78.84,26.0,0,0,0,0,0,8.1,7.0,22,Low
PCL-MP-1037,Jabalpur,Private Commercial,8.39,2,82.19,104.85,27.6,2,0,0,0,0,21.6,18.2,57,Medium
PCL-MP-1038,Ujjain,Forest/Eco-sensitive,38.98,2,86.06,129.67,50.7,2,0,0,1,0,39.9,23.7,74,High
PCL-MP-1039,Ujjain,Government Wasteland,44.27,1,72.38,165.05,128.0,2,0,0,0,1,25.4,24.0,75,High
PCL-MP-1040,Dewas,Government Wasteland,75.83,4,95.6,166.77,74.4,0,0,0,0,1,12.0,11.2,35,Low
PCL-MP-1041,Ujjain,Forest/Eco-sensitive,41.45,2,48.34,51.35,6.2,0,0,1,1,1,6.7,15.7,49,Medium
PCL-MP-1042,Indore,Agricultural,13.41,4,30.46,46.94,54.1,1,0,0,0,0,19.2,16.3,51,Medium
PCL-MP-1043,Jabalpur,Agricultural,74.92,7,65.54,151.85,131.7,1,0,0,0,0,24.5,20.5,64,Medium
PCL-MP-1044,Jabalpur,Private Commercial,51.47,2,66.5,89.49,34.6,0,0,0,0,1,36.0,6.1,19,Low
PCL-MP-1045,Indore,Government Wasteland,45.63,4,75.31,143.94,91.1,1,0,0,0,1,12.1,18.9,59,Medium
PCL-MP-1046,Dewas,Agricultural,28.12,7,48.65,113.32,132.9,1,0,0,0,0,2.8,22.4,70,High
PCL-MP-1047,Bhopal,Forest/Eco-sensitive,55.57,1,105.72,130.99,23.9,2,1,0,1,1,10.2,27.8,87,High
PCL-MP-1048,Jabalpur,Agricultural,31.67,2,91.11,108.19,18.7,0,0,0,0,0,26.1,2.2,7,Low
PCL-MP-1049,Jabalpur,Agricultural,50.53,4,33.66,69.68,107.0,0,0,0,0,1,44.3,13.4,42,Medium
PCL-MP-1050,Ujjain,Agricultural,45.52,6,30.86,58.29,88.9,1,0,0,0,1,16.6,24.6,77,High
PCL-MP-1051,Indore,Agricultural,62.51,5,77.35,176.62,128.3,0,0,0,0,0,26.9,11.2,35,Low
PCL-MP-1052,Dewas,Tribal Schedule V,70.7,4,48.71,78.11,60.4,0,0,0,0,1,22.5,10.2,32,Low
PCL-MP-1053,Dewas,Forest/Eco-sensitive,29.26,3,72.24,122.74,69.9,2,0,1,1,1,21.7,32.0,100,High
PCL-MP-1054,Jabalpur,Private Commercial,67.5,1,50.01,76.83,53.6,1,0,0,0,1,15.8,16.3,51,Medium
PCL-MP-1055,Dewas,Forest/Eco-sensitive,23.39,3,44.6,89.02,99.6,1,0,0,1,1,33.4,24.0,75,High
PCL-MP-1056,Dewas,Forest/Eco-sensitive,83.02,3,108.34,233.72,115.7,1,0,0,1,1,2.5,25.0,78,High
PCL-MP-1057,Indore,Private Commercial,64.11,1,99.18,176.78,78.2,0,0,0,0,1,2.8,8.0,25,Low
PCL-MP-1058,Ujjain,Private Commercial,69.97,4,66.8,119.35,78.7,0,1,0,0,0,42.7,13.4,42,Medium
PCL-MP-1059,Sehore,Forest/Eco-sensitive,51.73,2,90.93,136.54,50.2,0,0,1,1,1,25.8,18.9,59,Medium
PCL-MP-1060,Bhopal,Private Commercial,63.04,2,78.17,104.26,33.4,2,0,0,0,1,18.7,20.2,63,Medium
PCL-MP-1061,Bhopal,Agricultural,60.24,8,31.05,40.01,28.9,1,0,0,0,0,9.3,15.7,49,Medium
PCL-MP-1062,Bhopal,Private Commercial,55.23,3,95.26,100.36,5.4,1,0,0,0,1,13.3,13.8,43,Medium
PCL-MP-1063,Jabalpur,Agricultural,23.5,8,62.21,113.05,81.7,0,0,0,0,1,1.7,20.2,63,Medium
PCL-MP-1064,Indore,Government Wasteland,71.14,1,109.96,211.65,92.5,2,0,0,0,1,29.5,25.6,80,High
PCL-MP-1065,Sehore,Agricultural,69.3,2,64.95,100.16,54.2,2,1,0,0,1,22.5,27.2,85,High
PCL-MP-1066,Jabalpur,Government Wasteland,69.25,1,63.66,89.51,40.6,0,0,0,0,1,23.4,9.6,30,Low
PCL-MP-1067,Sehore,Private Commercial,5.08,3,77.92,130.35,67.3,2,0,0,0,0,6.3,20.8,65,High
PCL-MP-1068,Dewas,Agricultural,59.5,2,27.45,51.15,86.3,0,0,0,0,1,1.1,11.2,35,Low
PCL-MP-1069,Ujjain,Tribal Schedule V,39.49,4,80.06,93.93,17.3,0,0,0,0,1,22.0,7.0,22,Low
PCL-MP-1070,Raisen,Agricultural,47.08,7,41.2,74.95,81.9,0,1,0,0,1,34.9,23.0,72,High
PCL-MP-1071,Ujjain,Private Commercial,69.84,3,86.71,187.67,116.4,0,0,0,0,0,20.4,9.0,28,Low
PCL-MP-1072,Raisen,Agricultural,47.14,7,63.7,90.24,41.7,1,0,0,0,1,35.0,23.4,73,High
PCL-MP-1073,Jabalpur,Tribal Schedule V,32.71,13,92.35,175.04,89.5,1,1,0,0,1,5.0,32.0,100,High
PCL-MP-1074,Ujjain,Agricultural,44.94,8,26.3,30.48,15.9,0,0,0,0,1,35.3,10.9,34,Low
PCL-MP-1075,Raisen,Private Commercial,72.47,4,106.1,197.22,85.9,0,0,0,0,1,28.0,16.0,50,Medium
PCL-MP-1076,Indore,Private Commercial,78.32,2,88.48,139.73,57.9,1,0,0,0,1,31.4,16.3,51,Medium
PCL-MP-1077,Ujjain,Agricultural,30.79,7,37.37,64.28,72.0,1,1,0,0,1,39.3,25.9,81,High
PCL-MP-1078,Sehore,Forest/Eco-sensitive,42.55,2,44.74,83.89,87.5,1,0,1,1,1,24.8,31.4,98,High
PCL-MP-1079,Sehore,Agricultural,81.79,5,63.83,88.6,38.8,0,0,0,0,1,17.5,11.2,35,Low
PCL-MP-1080,Dewas,Private Commercial,84.38,3,26.86,57.84,115.3,2,0,0,0,0,43.8,25.9,81,High
PCL-MP-1081,Ujjain,Tribal Schedule V,24.68,6,76.6,111.9,46.1,0,0,0,0,0,29.8,9.0,28,Low
PCL-MP-1082,Ujjain,Agricultural,8.71,1,51.26,81.46,58.9,0,0,0,0,0,4.5,3.8,12,Low
PCL-MP-1083,Indore,Agricultural,66.96,6,70.12,159.49,127.5,0,0,0,0,0,21.9,15.4,48,Medium
PCL-MP-1084,Ujjain,Agricultural,74.05,2,64.81,68.65,5.9,0,0,0,0,1,30.5,2.2,7,Low
PCL-MP-1085,Sehore,Agricultural,67.31,1,47.48,53.61,12.9,0,0,0,0,1,17.5,4.8,15,Low
PCL-MP-1086,Jabalpur,Government Wasteland,9.66,2,65.08,120.29,84.8,0,0,0,0,0,27.6,7.7,24,Low
PCL-MP-1087,Raisen,Tribal Schedule V,26.04,9,34.92,35.47,1.6,1,1,1,0,1,17.8,28.2,88,High
PCL-MP-1088,Dewas,Forest/Eco-sensitive,63.3,4,74.92,150.11,100.4,0,0,0,1,1,42.3,17.6,55,Medium
PCL-MP-1089,Indore,Agricultural,80.82,6,33.45,65.03,94.4,1,0,0,0,1,8.9,25.6,80,High
PCL-MP-1090,Bhopal,Government Wasteland,70.14,1,81.34,152.96,88.1,0,1,0,0,0,11.3,13.8,43,Medium
PCL-MP-1091,Bhopal,Tribal Schedule V,47.33,12,43.36,95.87,121.1,2,0,1,0,0,6.9,32.0,100,High
PCL-MP-1092,Indore,Private Commercial,67.97,1,81.19,80.17,-1.3,1,0,0,0,1,8.3,12.2,38,Medium
PCL-MP-1093,Sehore,Agricultural,5.87,8,91.13,154.39,69.4,1,0,0,0,0,2.4,20.2,63,Medium
PCL-MP-1094,Ujjain,Tribal Schedule V,56.18,7,63.93,150.1,134.8,1,0,0,0,1,41.0,25.0,78,High
PCL-MP-1095,Sehore,Agricultural,11.16,6,57.38,104.21,81.6,1,0,0,0,0,35.8,20.5,64,Medium
PCL-MP-1096,Bhopal,Tribal Schedule V,55.5,11,86.27,108.85,26.2,0,0,1,0,1,19.0,23.4,73,High
PCL-MP-1097,Jabalpur,Agricultural,81.08,8,30.71,66.21,115.6,2,0,0,0,0,25.3,30.4,95,High
PCL-MP-1098,Sehore,Government Wasteland,47.96,1,59.92,132.83,121.7,0,0,0,0,0,2.8,7.4,23,Low
PCL-MP-1099,Bhopal,Private Commercial,18.48,4,44.06,48.77,10.7,0,0,0,0,0,26.0,4.5,14,Low
PCL-MP-1100,Ujjain,Agricultural,47.9,1,76.76,146.14,90.4,0,1,0,0,1,34.4,16.6,52,Medium
PCL-MP-1101,Indore,Tribal Schedule V,48.35,9,30.91,62.57,102.4,0,1,1,0,1,20.7,29.8,93,High
PCL-MP-1102,Indore,Agricultural,61.47,2,100.08,117.65,17.6,0,1,0,0,1,20.2,7.7,24,Low
PCL-MP-1103,Raisen,Agricultural,64.29,2,54.34,60.36,11.1,0,0,0,0,1,14.2,5.1,16,Low
